;geometry
0;0.6796738;47.3633245
1;0.6797697;47.3633085
2;0.6792235;47.3636429
3;0.6805561;47.3634395
4;0.6807313;47.3634471
5;0.6814594;47.363637
6;0.6805277;47.3627273
7;0.6807495;47.3632932
8;0.6803274;47.3633096
9;0.6805763;47.3633195
10;0.6846541;47.3633324
11;0.6809546;47.3633373
12;0.6807367;47.3634132
13;0.6809787;47.3634598
14;0.6842483;47.3638658
15;0.6842203;47.3638561
16;0.6805395;47.3634949
17;0.6840424;47.3635082
18;0.6845866;47.3635367
19;0.6846623;47.3635583
20;0.6801369;47.3645874
21;0.6815067;47.3635658
22;0.6844278;47.3635908
23;0.6844536;47.363603
24;0.6845266;47.3636292
25;0.6846592;47.3632065
26;0.679981;47.3637339
27;0.6792358;47.3635838
28;0.6809455;47.3635361
29;0.6791771;47.3634567
30;0.6792206;47.363547
31;0.680105;47.3635705
32;0.6814318;47.3636786
33;0.6794094;47.3628412
34;0.6844944;47.3633196
35;0.6785313;47.3635401
36;0.6799748;47.363711
37;0.6799353;47.3637137
38;0.6809676;47.3634896
39;0.6790451;47.3636323
40;0.6810261;47.363351
41;0.6810151;47.3633762
42;0.6810389;47.3633215
43;0.6811245;47.3633406
44;0.679678;47.3633378
45;0.679162;47.3634056
46;0.6795063;47.3633553
47;0.6801777;47.3635822
48;0.6801558;47.3634673
49;0.6801491;47.3634234
50;0.6811387;47.3633183
51;0.6801655;47.3635354
52;0.6777973;47.3625287
53;0.6796241;47.3632941
54;0.6783381;47.3637696
55;0.679649;47.3636279
56;0.6799321;47.3635999
57;0.6823153;47.3629867
58;0.6801527;47.3634366
59;0.6799728;47.3635299
60;0.6798336;47.3637296
61;0.6799643;47.3639732
62;0.6800356;47.3637139
63;0.6795522;47.362406
64;0.6771018;47.3627
65;0.6790245;47.3624517
66;0.6807234;47.3634948
67;0.6794365;47.3634975
68;0.684596;47.3630525
69;0.6804507;47.3635446
70;0.6846532;47.3630341
71;0.6845721;47.3633295
72;0.6779539;47.3637917
73;0.6805104;47.3634956
74;0.6842283;47.3638908
75;0.6816141;47.3637318
76;0.6816427;47.363688
77;0.6795679;47.3634921
78;0.6799582;47.3635691
79;0.67978;47.3636543
80;0.6797727;47.3633228
81;0.6804017;47.3634441
82;0.6844513;47.3637292
83;0.6844697;47.3633146
84;0.6845979;47.3632046
85;0.6843467;47.3635301
86;0.6785685;47.3636747
87;0.6774115;47.3628528
88;0.6809482;47.3624392
89;0.6797993;47.363294
90;0.6799355;47.3637415
91;0.6798507;47.3637567
92;0.6797746;47.3632475
93;0.6801037;47.3635411
94;0.6800986;47.3634294
95;0.6799152;47.3634189
96;0.6797892;47.3633781
97;0.6801704;47.3635631
98;0.6794308;47.3634871
99;0.6801002;47.3634636
